main_match_id,source_key,date,home_team,away_team,home_goals,away_goals,ah,cover_status,home_tiros,away_tiros,home_tiros_a_puerta,away_tiros_a_puerta,home_ataques,away_ataques,home_ataques_peligrosos,away_ataques_peligrosos,home_red_cards,away_red_cards
2713652,h2h_col3,,Sacramento Republic FC,Lexington,0.0,0.0,-,NEUTRO,21.0,8.0,5.0,2.0,90.0,68.0,63.0,31.0,0.0,1.0
2713652,h2h_general,,Orange County Blues FC,New Mexico United,0.0,3.0,-,NEUTRO,12.0,14.0,5.0,7.0,110.0,95.0,60.0,39.0,,
2719988,last_home,,Jeonnam Dragons,Cheonan City,4.0,1.0,-,NEUTRO,19.0,7.0,9.0,4.0,129.0,90.0,84.0,64.0,0.0,1.0
2719988,last_away,,Gimpo FC,Ansan Greeners FC,1.0,1.0,-,NEUTRO,7.0,8.0,5.0,5.0,79.0,118.0,28.0,43.0,,
2719988,h2h_col3,,Gimpo FC,Cheonan City,1.0,3.0,-,NEUTRO,8.0,15.0,4.0,14.0,99.0,64.0,44.0,25.0,,
2719988,h2h_general,,Jeonnam Dragons,Ansan Greeners FC,2.0,0.0,-,NEUTRO,9.0,8.0,2.0,0.0,106.0,111.0,75.0,67.0,,
2719989,last_home,,Suwon Samsung Bluewings,Bucheon FC 1995,2.0,2.0,-,NEUTRO,15.0,11.0,5.0,5.0,78.0,63.0,73.0,40.0,1.0,0.0
2719989,last_away,,Jeonnam Dragons,Cheonan City,4.0,1.0,-,NEUTRO,19.0,7.0,9.0,4.0,129.0,90.0,84.0,64.0,0.0,1.0
2719989,h2h_col3,,Jeonnam Dragons,Bucheon FC 1995,3.0,2.0,-,NEUTRO,8.0,7.0,6.0,4.0,65.0,87.0,39.0,69.0,,
2719989,h2h_general,,Cheonan City,Suwon Samsung Bluewings,1.0,2.0,-,NEUTRO,9.0,11.0,4.0,2.0,60.0,46.0,42.0,35.0,1.0,0.0
2724396,last_home,27-09-2025,Kansas City NWSL (W),Chicago Red Stars (W),4.0,1.0,1.75,CUBIERTO,27.0,11.0,10.0,5.0,46.0,27.0,54.0,19.0,,
2724396,last_away,22-09-2025,Bay FC (W),Gotham FC (W),1.0,1.0,-0.75,indeterminado,8.0,12.0,2.0,4.0,45.0,48.0,30.0,29.0,,
2724396,h2h_col3,10-08-2025,Chicago Red Stars (W),Bay FC (W),1.0,1.0,0,indeterminado,10.0,13.0,2.0,3.0,109.0,118.0,84.0,84.0,,
2724396,h2h_general,,Gotham FC (W),Kansas City NWSL (W),1.0,2.0,0.25,CUBIERTO,11.0,8.0,2.0,5.0,63.0,64.0,66.0,30.0,,
2730113,last_home,16-09-2025,CD Copiapo S.A.,CSD Antofagasta,1.0,1.0,0.75,NO CUBIERTO,30.0,10.0,11.0,6.0,166.0,103.0,139.0,47.0,,
2730113,last_away,05-10-2025,San Luis Quillota,San Marcos de Arica,1.0,1.0,0,indeterminado,11.0,10.0,3.0,3.0,82.0,92.0,42.0,46.0,1.0,0.0
2730113,h2h_col3,13-07-2025,CSD Antofagasta,San Luis Quillota,1.0,2.0,0.5,indeterminado,11.0,14.0,2.0,6.0,121.0,120.0,66.0,93.0,1.0,0.0
